,Name,Spec,parx,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,BV,MV,BC,L,coords,pmra,pmdec,rv,Binary_Cut,MsEst,MsTrue,int_comp
10,HIP 544,K0V,73.15288953913678,0.0,6.81,6.06,0.0,0.0,4.733,4.629,,13.67,0.75,5.381157427160888,-0.6799999999999997,0.68,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.65221, 29.02193451, 13.67)>",379.9,-178.3,0.0,False,0.9661706461168538,0.9850767786350526,0.2443864811936191
11,HIP 669,G2V,36.44314868804664,0.0,7.65,7.03,0.0,0.0,5.947,5.628,5.550000000000001,27.44,0.62,4.83807946482643,-2.1900000000000004,1.03,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (2.06820893, -14.82446575, 27.44)>",-12.4,-10.7,0.0,False,1.0572111306514191,1.0666806572868177,0.08673555529335754
12,HIP 677,B9V,33.624747814391384,0.0,2.0100000000000002,2.06,0.0,0.0,2.129,2.287,2.34,29.74,-0.05,-0.306704820929677,-2.37,251.04,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (2.09653306, 29.09082794, 29.74)>",135.7,-162.9,0.0,True,2.927622901499624,2.8355862273282306,0.023670102793693505
13,HIP 746,F2III,59.59475566150178,0.0,2.6199999999999997,2.26,0.0,0.0,1.714,1.585,1.4799999999999998,16.78,0.36,1.1360402175365925,-1.13,29.09,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (2.29204011, 59.15021896, 16.78)>",523.4,-180.4,0.0,False,2.134758822460382,2.0546542549627618,0.08397603493036764
14,HIP 910,F5V,53.33333333333333,0.0,5.38,4.89,0.0,0.0,4.153,3.8,3.5999999999999996,18.75,0.49,3.5249936396813117,-1.3599999999999999,3.38,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (2.81628394, -15.4673233, 18.75)>",-84.2,-269.3,0.0,False,1.3326162124004208,1.3793181257888931,0.1692803007764527
15,HIP 950,F4V,46.99248120300751,0.0,5.67,5.24,0.0,0.0,4.414,4.159,,21.28,0.43,3.600141881884947,-1.6400000000000001,3.07,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (2.93286705, -35.13339615, 21.28)>",169.0,113.8,0.0,False,1.3143846871144673,1.2297661749154625,0.1578842604729329
16,HIP 974,K0V,37.93626707132018,0.0,9.729999999999999,8.7,0.0,0.0,6.88,6.412,6.299999999999999,26.36,1.03,6.5952729703901385,-2.0999999999999996,0.27,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (3.01599193, 27.09915352, 26.36)>",283.5,-82.5,0.0,False,0.7995823707692937,0.781566658499014,0.017096243985354243
17,HIP 1031,K0V,49.529470034670624,0.0,8.0,7.22,0.0,0.0,5.852,5.47,5.38,20.19,0.78,5.694318405281803,-1.5299999999999994,0.52,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (3.20991302, -57.91269684, 20.19)>",-117.3,35.1,0.0,False,0.9186734882785691,0.9504489699830994,0.11084979974084938
18,HIP 1242,M4V,168.3501683501683,0.0,13.18,11.48,0.0,0.0,7.215,6.712,6.380000000000001,5.94,1.7,12.611067775094032,1.129999999999999,0.01,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (3.86528111, -16.13230705, 5.94)>",728.2,-617.5,0.0,False,0.40034929410042824,0.41306638422131925,0.017469625537472968
19,HIP 1292,G6V,57.14285714285713,0.0,7.34,6.59,0.0,0.0,5.366,4.99,4.859999999999999,17.5,0.75,5.374809756568528,-1.21,0.67,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.04683781, -79.8510437, 17.5)>",433.9,-58.0,0.0,False,0.967169465188558,0.9479589512063649,0.18214744904783065
20,HIP 1349,G2V,44.24778761061946,0.0,7.5,6.85,0.0,0.0,5.567,5.195,5.119999999999999,22.6,0.65,5.0794578042629945,-1.7699999999999996,0.89,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.22329998, -52.65159225, 22.6)>",314.9,182.5,0.0,False,1.015315093458151,1.0830269151047698,0.12561970103591952
21,HIP 1368,M0V,66.66666666666666,0.0,10.36,8.99,0.0,0.0,6.385,5.748,5.58,15.0,1.37,8.109543704721593,-0.8800000000000008,0.12,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.27473307, 40.94809341, 15.)>",567.9,82.8,0.0,False,0.6463984581100005,0.6865832671807892,0.034895622367990195
22,HIP 1392 B,F5V,65.83278472679395,0.0,7.7,7.05,0.0,0.0,5.581,5.222,,15.19,0.65,6.142211130686069,-0.8999999999999995,0.32,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.35209799, 8.87633419, 15.19)>",75.3,75.5,0.0,False,0.8564199859372816,0.8029590530016772,0.16669562453527756
23,HIP 1444,G2V,36.73769287288758,0.0,7.109999999999999,6.51,0.0,0.0,5.383,5.065,4.99,27.22,0.6,4.33555939566342,-2.17,1.65,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.49430323, -13.45563889, 27.22)>",397.0,-0.6,0.0,False,1.1524960456760378,1.0937899828989772,0.12104196350018925
24,HIP 1475,M2V,280.11204481792714,0.0,9.610000000000001,8.13,0.0,0.0,5.252,4.476,,3.57,1.48,10.366658919439034,2.2399999999999984,0.02,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.58559084, 44.0219574, 3.57)>",2888.9,410.6,0.0,False,0.49400827081821425,0.4894424446532657,0.29098283567503586
25,HIP 1499,G5V,43.01075268817204,0.0,7.12,6.45,0.0,0.0,5.329,5.041,4.890000000000001,23.25,0.67,4.617885213870137,-1.83,1.28,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (4.67342281, -8.05265141, 23.25)>",417.7,-144.2,0.0,False,1.0975669788968185,1.1472806697382152,0.1488565571791755
26,HIP 1598,G0V,40.32258064516128,0.0,7.59,6.97,0.0,0.0,5.764,5.52,5.42,24.8,0.62,4.997741595868919,-1.9699999999999998,0.9,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (5.00213814, 38.22806931, 24.8)>",-140.9,-276.4,0.0,False,1.0292333728472582,1.0258966325700223,0.10521600681824185
27,HIP 1599,G0V,116.41443538998834,0.0,4.8100000000000005,4.23,0.0,0.0,3.068,2.738,2.8100000000000005,8.59,0.58,4.560034180843789,0.3299999999999992,1.33,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (5.00797606, -64.87762451, 8.59)>",1707.6,1165.4,0.0,False,1.1085235602145582,1.0659229163952697,0.29987445521850437
28,HIP 1768,K1V,34.62603878116343,0.0,9.21,8.32,0.0,0.0,6.696,6.244,6.130000000000001,28.88,0.89,6.017014055511993,-2.3100000000000005,0.43,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (5.59779882, -27.03160286, 28.88)>",212.9,-399.9,0.0,False,0.8731842916595015,0.8871357223350562,0.02092073305334127
29,HIP 1803,G3V,47.93863854266539,0.0,7.05,6.39,0.0,0.0,5.253,5.035,4.859999999999999,20.86,0.66,4.79342847954744,-1.5999999999999996,1.09,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (5.71480417, -12.20958519, 20.86)>",394.3,60.5,0.0,False,1.0652255280653153,1.0017449870716013,0.16882630745408034
30,HIP 1837,K4V,45.10599909788001,0.0,9.83,8.75,0.0,0.0,6.801,6.295,6.140000000000001,22.17,1.08,7.021171534427559,-1.7300000000000004,0.21,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (5.81659889, -33.16783142, 22.17)>",-34.6,126.3,0.0,False,0.7511853252412334,0.7436093042847152,0.02115900697213081
31,HIP 1936,K2V,54.8847420417124,0.0,8.87,7.92,0.0,0.0,6.197,5.707,5.5600000000000005,18.22,0.95,6.617258136815103,-1.3099999999999996,0.26,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (6.10623884, -27.02697563, 18.22)>",667.4,83.9,0.0,False,0.7969694037482712,0.782826494622426,0.07293326300171465
32,HIP 1954,G8IV,36.72420124862284,0.0,7.9399999999999995,7.27,0.0,0.0,6.109,5.781,5.709999999999999,27.23,0.67,5.094761793300176,-2.17,0.83,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (6.17641401, -53.98392868, 27.23)>",209.7,-27.9,0.0,False,1.012737954240311,0.9566137277958996,0.07017931647966354
33,HIP 2021,G1IV,134.04825737265415,0.0,3.44,2.82,0.0,0.0,1.676,1.434,1.3299999999999998,7.46,0.62,3.456305862636656,0.6400000000000001,3.7,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (6.413342, -77.2550354, 7.46)>",2220.1,324.4,0.0,False,1.3495769029716493,1.4157536084061741,0.26011399294007026
34,HIP 2072,A6V,41.999160016799664,0.0,4.11,3.93,0.0,0.0,3.739,3.585,3.54,23.81,0.18,2.046203022975601,-1.8800000000000003,12.77,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (6.55048418, -43.67990875, 23.81)>",106.1,32.8,0.0,False,1.7704202394651034,1.6878238249808635,0.08757538160551281
35,HIP 2081,K0III,38.50596842510589,0.0,3.48,2.4,0.0,0.0,0.579,-0.089,0.0,25.97,1.08,0.3276402518534858,-2.07,88.07,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (6.57028103, -42.30512238, 25.97)>",232.8,-353.6,0.0,False,2.5406597193573983,2.5677525387059053,0.03720978544699504
36,HIP 2552 A,M2V,99.30486593843096,0.0,11.77,10.48,0.0,0.0,6.844,6.268,,10.07,1.29,10.464852647231911,-0.019999999999999574,0.01,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.11171627, 67.23621368, 10.07)>",1739.1,-224.6,0.0,False,0.4889026975846957,0.49243141845412053,0.010030164266920043
37,HIP 2711,F6V,39.24646781789639,0.0,6.04,5.57,0.0,0.0,4.744,4.49,4.44,25.48,0.47,3.539002881683436,-2.0300000000000002,3.28,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.61506271, -52.3731842, 25.48)>",227.8,38.2,0.0,False,1.329191954399727,1.2942938778939832,0.1340941326563194
38,HIP 2715,G0V,43.59197907585004,0.0,9.23,8.58,0.0,0.0,8.245,8.005,7.92,22.94,0.65,6.777032932173755,-1.8100000000000005,0.16,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.62777805, -4.54265785, 22.94)>",108.4,7.8,0.0,False,0.7783625472328219,0.8170360591303185,0.02242852454376233
39,HIP 2742,K0IV,34.602076124567475,0.0,8.91,8.02,0.0,0.0,6.535,6.14,6.02,28.9,0.89,5.71551078621726,-2.3,0.53,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.75416756, 42.6949501, 28.9)>",-168.1,-72.2,0.0,False,0.9155815986053034,0.9209347425681998,0.029900322933050987
40,HIP 2743,K2V,34.19972640218878,0.0,9.389999999999999,8.54,0.0,0.0,6.91,6.436,6.309999999999999,29.24,0.85,6.210113158570885,-2.329999999999999,0.36,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.7568779, -63.69382858, 29.24)>",881.6,-534.7,0.0,False,0.8475255362807719,0.8438096078525934,0.016026033469905342
41,HIP 2762 A,F8V,47.05882352941176,0.0,5.7700000000000005,5.2,0.0,0.0,4.348,3.964,,21.25,0.57,3.5632053280683484,-1.6400000000000001,3.31,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.81100368, -3.59275794, 21.25)>",407.7,-36.5,0.0,True,1.323303825835133,1.3728500626746145,0.15544181867996137
42,HIP 2790,G8V,34.73428273706148,0.0,8.18,7.45,0.0,0.0,6.098,5.729,5.61,28.79,0.73,5.1537916756095905,-2.3,0.85,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (8.89236546, -39.74589157, 28.79)>",116.1,-165.6,0.0,False,1.0028835388761235,0.9448947374575875,0.056820095208488575
43,HIP 2941 A,K1V,64.93506493506491,0.0,6.29,5.57,0.0,0.0,4.437,3.976,3.87,15.4,0.72,4.632396395817684,-0.9400000000000004,1.32,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (9.3324461, -24.76722527, 15.4)>",1422.1,-17.1,0.0,True,1.0948421949962388,1.1285507795553833,0.22318485972536786
44,HIP 3093,K0V,90.41591320072332,0.0,6.7299999999999995,5.88,0.0,0.0,4.549,4.064,3.9699999999999998,11.06,0.85,5.6612243651566025,-0.21999999999999975,0.54,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (9.84206104, 21.25137329, 11.06)>",-461.1,-370.9,0.0,False,0.9235320653332396,0.9484736424594872,0.27901431346858657
45,HIP 3170,F7V,40.064102564102555,0.0,6.449999999999999,5.89,0.0,0.0,4.833,4.672,,24.96,0.56,3.903777094948068,-1.9899999999999998,2.42,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (10.10273361, -59.45568085, 24.96)>",883.3,443.0,0.0,False,1.244034310577133,1.2780563379344307,0.1434496613191448
46,HIP 3185,G4V,34.61405330564208,0.0,6.859999999999999,6.14,0.0,0.0,5.13,4.545,,28.89,0.72,3.8362622907790156,-2.3,2.76,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (10.13501644, -23.80399323, 28.89)>",635.5,-363.3,0.0,False,1.2592306787044039,1.346251695883732,0.12178789081950761
47,HIP 3203 A,G2V,37.73584905660377,0.0,7.64,7.02,0.0,0.0,5.911,5.604,5.52,26.5,0.62,4.90377063031596,-2.119999999999999,0.98,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (10.1978426, -7.2323842, 26.5)>",0.6,-91.6,0.0,False,1.045572575541161,0.9767259155362875,0.09179058981861465
48,HIP 3206,K2V,57.70340450086555,0.0,8.3,7.36,0.0,0.0,5.694,5.272,5.16,17.33,0.94,6.1660071864304165,-1.1900000000000004,0.37,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (10.20415783, 40.18880081, 17.33)>",355.7,-668.9,0.0,False,0.8532873147581532,0.820949201290215,0.11867623903033835
49,HIP 3418,K8V,48.614487117160905,0.0,9.86,8.73,0.0,0.0,6.592,6.051,5.94,20.57,1.13,7.163828541526381,-1.5700000000000003,0.2,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (10.88750935, 33.84543228, 20.57)>",-203.0,-356.2,0.0,False,0.7359759273012355,0.7298382398131261,0.025795285693498603
50,HIP 3419,K0III,33.86386725364036,0.0,3.06,2.02,0.0,0.0,0.37,-0.219,-0.2599999999999998,29.53,1.04,-0.3313172348253919,-2.35,151.95,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (10.89678478, -17.9866848, 29.53)>",232.8,32.7,0.0,False,2.9440407331700147,2.9707530477364306,0.02717965575898448
51,HIP 3497,G5V,45.33091568449682,0.0,7.21,6.55,0.0,0.0,5.366,5.101,4.9399999999999995,22.06,0.66,4.831972459479141,-1.7199999999999998,1.07,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (11.16268539, -65.64772034, 22.06)>",157.9,-742.4,0.0,False,1.0583022974685978,1.1154557409834143,0.15010180748726284
52,HIP 3505,F0V,37.38317757009345,0.0,5.54,5.22,0.0,0.0,4.334,4.469,4.359999999999999,26.75,0.32,3.0833810682137637,-2.1399999999999997,4.85,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (11.18515491, -22.0063324, 26.75)>",-66.1,81.2,0.0,False,1.4468471161363234,1.4550615493916805,0.11667315557973526
53,HIP 3535,K3V,46.36068613815484,0.0,9.02,8.0,0.0,0.0,6.306,5.868,5.720000000000001,21.57,1.02,6.330749274487275,-1.67,0.32,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (11.27051163, 1.78691399, 21.57)>",-49.0,-573.1,0.0,False,0.8320577208998574,0.8708087417317714,0.0508679020131958
54,HIP 3583,G1V,65.96306068601582,0.0,6.4399999999999995,5.8,0.0,0.0,4.666,4.155,4.3,15.16,0.64,4.8965039935198265,-0.8999999999999995,0.98,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (11.43930817, -47.55217743, 15.16)>",184.0,78.4,0.0,False,1.0468511694221874,1.0623238076678763,0.22851678529030015
55,HIP 3588 A,K5V,63.2111251580278,0.0,9.14,7.88,0.0,0.0,6.082,5.449,,15.82,1.26,6.883967604191712,-0.9900000000000002,0.2,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (11.45019817, -41.90900803, 15.82)>",301.6,-80.7,0.0,False,0.7662761604277014,0.7214665202662285,0.0830675858706423
56,HIP 3645,K0V,34.77051460361613,0.0,8.39,7.57,0.0,0.0,6.093,5.703,5.58,28.76,0.82,5.276055591445775,-2.29,0.79,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (11.66882324, -4.42640495, 28.76)>",38.8,-270.2,0.0,False,0.9828999895946925,0.9436641049614779,0.050746139532176444
57,HIP 3765,K1V,134.22818791946307,0.0,6.63,5.74,0.0,0.0,4.367,3.722,3.6100000000000003,7.45,0.89,6.3792186362585355,0.6399999999999997,0.3,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.09388828, 5.28338909, 7.45)>",758.0,-1141.2,0.0,False,0.8259611101380719,0.8470649422748804,0.3445451993324781
58,HIP 3810,F8V,42.64392324093816,0.0,5.56,5.06,0.0,0.0,4.433,4.152,,23.45,0.5,3.209285764744489,-1.8499999999999996,4.49,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.24462414, 16.9411335, 23.45)>",-2.3,-201.6,0.0,False,1.4129990456399677,1.360552565275034,0.13295194299507548
59,HIP 3821 A,G3V,168.3501683501683,0.0,4.0200000000000005,3.45,0.0,0.0,2.109,2.086,1.9700000000000002,5.94,0.57,4.5810677750940325,1.13,1.31,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.27125263, 57.81654739, 5.94)>",1087.1,-559.6,0.0,True,1.1045225102582892,1.0907191762402437,0.33935550974835826
60,HIP 3850,G8V,53.50454788657034,0.0,7.93,7.16,0.0,0.0,5.813,5.433,5.3100000000000005,18.69,0.77,5.80195349310584,-1.3600000000000003,0.47,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.36015511, -23.21277428, 18.69)>",516.7,119.5,0.0,False,0.903124865782381,0.9257312970911606,0.1263587340707551
61,HIP 3876,K0V,46.23208506703652,0.0,8.63,7.73,0.0,0.0,6.117,5.682,5.6000000000000005,21.63,0.9,6.054717402804543,-1.6700000000000008,0.4,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.44099617, 70.4489975, 21.63)>",370.4,201.5,0.0,False,0.8680852511082379,0.9016103685808501,0.06861401655181838
62,HIP 3909,F7V,63.49206349206348,0.0,5.67,5.16,0.0,0.0,4.412,4.012,,15.75,0.51,4.173597209371903,-0.9800000000000004,1.85,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.5321846, -10.64377022, 15.75)>",-224.7,-228.4,0.0,False,1.1857218609736058,1.1510836785751688,0.2125625389807135
63,HIP 3979,G5V,46.468401486988846,0.0,7.62,6.96,0.0,0.0,5.793,5.416,5.35,21.52,0.66,5.295788665028242,-1.67,0.7,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.79456043, -5.03898907, 21.52)>",262.3,-119.2,0.0,False,0.9797277518548586,0.9911040244511317,0.1231234678353387
64,HIP 3998,K2V,46.79457182966775,0.0,10.43,9.24,0.0,0.0,6.952,6.38,6.24,21.37,1.19,7.590977389179653,-1.6500000000000004,0.15,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.84050465, 18.73990059, 21.37)>",54.1,-267.1,0.0,False,0.6932056930867642,0.7075379722290407,0.01431133369770834
65,HIP 4022,K5V,63.97952655150351,0.0,10.25,8.95,0.0,0.0,6.545,5.921,5.729999999999999,15.63,1.3,7.980205109904065,-0.9699999999999989,0.12,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (12.89013195, -22.90939522, 15.63)>",612.1,-275.4,0.0,False,0.657581193544156,0.6742431752335768,0.03354110106043086
66,HIP 4148,K2V,70.57163020465772,0.0,8.09,7.15,0.0,0.0,5.537,5.049,4.890000000000001,14.17,0.94,6.393150748762698,-0.7600000000000007,0.31,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (13.25298214, -30.35699081, 14.17)>",620.5,31.3,0.0,False,0.824221022615433,0.7862524394780515,0.16321722778830927
67,HIP 4151,F8V,53.36179295624333,0.0,5.34,4.8,0.0,0.0,3.936,3.681,3.54,18.74,0.54,3.4361520672412027,-1.3599999999999999,3.66,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (13.26783085, 61.12355804, 18.74)>",-68.5,169.7,0.0,False,1.354607922015487,1.313512764818382,0.1659608643627958
68,HIP 4290,G5V,34.41156228492773,0.0,8.05,7.4,0.0,0.0,6.204,5.94,,29.06,0.65,5.083521950189986,-2.3100000000000005,0.84,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (13.74744987, 24.1007061, 29.06)>",-184.1,-179.7,0.0,False,1.0146298042707491,1.0725227271054718,0.058693673655066926
69,HIP 4454,K4V,40.899795501022496,0.0,10.149999999999999,9.12,0.0,0.0,7.114,6.591,6.459999999999999,24.45,1.03,7.178605682701804,-1.9399999999999995,0.18,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (14.26352119, 69.04402161, 24.45)>",715.3,-234.4,0.0,False,0.7344278315275666,0.7451376519028368,0.011290941669375455
70,HIP 4473,M0V,50.864699898270594,0.0,10.8,9.5,0.0,0.0,7.081,6.486,6.279999999999999,19.66,1.3,8.032082432519415,-1.4700000000000006,0.11,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (14.32691383, -62.24590683, 19.66)>",1028.3,127.8,0.0,False,0.653057940162394,0.6216708784774027,0.010833529092983643
71,HIP 4849 A,K2V,47.30368968779565,0.0,9.170000000000002,8.13,0.0,0.0,6.199,5.676,5.48,21.14,1.04,6.504475085142964,-1.620000000000001,0.33,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (15.60155392, 5.06091022, 21.14)>",340.0,221.1,0.0,False,0.8105118227505872,0.7842701194749161,0.04976337149444668
72,HIP 4856,M4V,121.35922330097087,0.0,11.48,9.98,0.0,0.0,6.301,5.699,5.45,8.24,1.5,10.40036394151442,0.41999999999999993,0.03,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (15.62080383, 71.68074036, 8.24)>",1745.7,-380.4,0.0,False,0.49224374911537905,0.4664137644025551,0.03971896483573495
73,HIP 4872,K5V,100.40160642570278,0.0,11.02,9.56,0.0,0.0,6.23,5.582,5.37,9.96,1.46,9.568703307881506,0.009999999999999787,0.05,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (15.65812111, 62.34482956, 9.96)>",730.1,89.3,0.0,False,0.5397029421626286,0.5184842468315188,0.044631793802669434
